id,host_id,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,number_of_reviews_ltm,review_scores_rating,instant_bookable,reviews_per_month
52737979,33762775,0%,88%,f,1,Loma Portal,32.74393,-117.23607,Entire home/apt,2,1 bath,,1,143,3,5,f,0.42
52487636,424845742,100%,100%,t,0,Mission Valley,32.76136,-117.17468,Entire home/apt,4,1 bath,1,1,200,23,4.87,t,2.96
52489435,174378715,100%,98%,t,0,East Village,32.7131,-117.14997,Entire home/apt,5,2 baths,1,1,223,39,4.79,t,4.7
52493140,424886565,100%,99%,f,0,Valencia Park,32.69993,-117.07494,Entire home/apt,5,1 bath,2,3,126,64,4.69,f,8.89
52493296,88168913,93%,95%,t,218,Pacific Beach,32.79519,-117.24503,Entire home/apt,2,1 bath,1,1,275,2,5,t,0.53
52738342,417495473,100%,100%,f,15,East Village,32.70731,-117.1589,Entire home/apt,7,2 baths,2,4,304,11,4.45,t,1.4
52739853,239576595,93%,98%,f,2,Memorial,32.69972,-117.13569,Entire home/apt,2,1 bath,2,2,86,3,5,t,0.37
52532198,425190906,89%,100%,t,0,City Heights West,32.75193,-117.10629,Entire home/apt,2,1 bath,1,1,119,4,4.5,f,1.03
52742678,6688389,100%,100%,t,49,Mission Bay,32.79072,-117.25265,Entire home/apt,12,2 baths,2,7,705,9,5,t,1.54
52748707,372871193,100%,72%,f,13,Core,32.71703,-117.15547,Entire home/apt,6,1.5 baths,2,3,556,5,5,t,0.7
